z Employment Rate,z Individual Income Normalized,z Fraction Married,z Incarceration Rate,z Number of Children Normalized
0.686535947,1.367854028,1.357229094,1.484112599,1.424376581
0.686535947,1.367255106,1.348840082,1.484112599,1.419299269
0.685441608,1.366256904,1.334159311,1.474521833,1.417606832
0.685441608,1.363661576,1.332062058,1.464931067,1.404067336
0.683252929,1.36126589,1.331013432,1.464931067,1.404067336
0.68215859,1.35028566,1.311089529,1.445749536,1.402374899
0.68106425,1.349686739,1.30479777,1.445749536,1.39560515
0.679969911,1.347091412,1.288019746,1.426568005,1.388835402
0.676686893,1.345095006,1.28697112,1.426568005,1.388835402
0.675592553,1.334314417,1.282776614,1.416977239,1.370218594
0.675592553,1.331120168,1.282776614,1.416977239,1.35498666
0.672309535,1.329523044,1.280679361,1.397795708,1.322830356
0.671215195,1.320938501,1.272290349,1.388204942,1.300828674
0.664649159,1.304368336,1.272290349,1.388204942,1.295751363
0.664649159,1.30217229,1.260755458,1.388204942,1.28559674
0.66246048,1.301373728,1.252366446,1.388204942,1.283904303
0.661366141,1.301174087,1.24817194,1.378614176,1.282211866
0.661366141,1.283605719,1.247123314,1.378614176,1.277134555
0.659177462,1.271028365,1.247123314,1.369023411,1.273749681
0.655894443,1.267035554,1.246074687,1.340251114,1.266979933
0.655894443,1.263042744,1.239782928,1.321069582,1.250055562
0.652611425,1.262443822,1.236637049,1.311478817,1.236516065
0.646045389,1.260447417,1.23349117,1.311478817,1.229746317
0.64276237,1.258251371,1.23349117,1.311478817,1.221284131
0.64276237,1.257452809,1.228248037,1.301888051,1.21620682
0.641668031,1.251862873,1.218810399,1.301888051,1.21620682
0.638385013,1.248069703,1.218810399,1.301888051,1.214514383
0.636196334,1.245873657,1.215664519,1.292297285,1.211129509
0.634007655,1.245674017,1.214615893,1.28270652,1.204359761
0.632913315,1.237688395,1.21251864,1.263524988,1.19928245
0.631818976,1.236490552,1.211470014,1.263524988,1.189127827
0.626347279,1.236091271,1.207275508,1.244343457,1.18743539
0.626347279,1.227307087,1.205178255,1.244343457,1.18743539
0.62306426,1.224312479,1.198886496,1.225161926,1.18743539
0.620875582,1.218722543,1.19469199,1.225161926,1.170511019
0.617592563,1.216127216,1.175816713,1.225161926,1.170511019
0.616498224,1.214729733,1.151698304,1.205980394,1.168818582
0.613215206,1.204548065,1.145406546,1.205980394,1.165433708
0.609932187,1.200954535,1.140163413,1.196389629,1.165433708
0.608837848,1.198758489,1.137017534,1.196389629,1.163741271
0.602271811,1.191970711,1.135968907,1.167617332,1.156971523
0.601177472,1.190772868,1.130725775,1.167617332,1.156971523
0.598988793,1.167414924,1.118142257,1.1484358,1.155279086
0.598988793,1.166217081,1.107655992,1.138845035,1.148509337
0.596800114,1.164021035,1.106607366,1.129254269,1.138354715
0.594611435,1.159030022,1.103461486,1.110072738,1.131584966
0.592422756,1.15463793,1.10241286,1.110072738,1.121430344
0.591328417,1.148648713,1.092975222,1.110072738,1.11804547
0.589139738,1.146851949,1.089829342,1.100481972,1.11804547
0.588045399,1.135272797,1.087732089,1.081300441,1.116353033
0.586951059,1.129283581,1.08458621,1.071709675,1.109583285
0.583668041,1.12908394,1.080391704,1.071709675,1.109583285
0.583668041,1.128085738,1.079343077,1.071709675,1.107890847
0.582573702,1.120299757,1.078294451,1.071709675,1.107890847
0.582573702,1.119501194,1.077245825,1.062118909,1.101121099
0.581479362,1.119501194,1.064662307,1.062118909,1.099428662
0.580385023,1.093947205,1.054176042,1.052528144,1.097736225
0.579290683,1.09215044,1.053127416,1.052528144,1.08927404
0.577102004,1.091351878,1.046835657,1.042937378,1.08927404
0.576007665,1.080770929,1.04578703,1.033346612,1.082504291
0.576007665,1.074781713,1.043689777,1.033346612,1.079119417
0.574913326,1.071787105,1.040543898,1.033346612,1.074042106
0.572724647,1.063601843,1.03110626,1.023755847,1.074042106
0.569441628,1.056814064,1.029009007,1.014165081,1.068964795
0.569441628,1.052421973,1.029009007,1.004574315,1.057117735
0.569441628,1.05162341,1.022717248,1.004574315,1.057117735
0.56725295,1.049427364,1.022717248,0.99498355,1.057117735
0.56615861,1.046033475,1.021668621,0.99498355,1.053732861
0.558498234,1.03665037,1.006987851,0.99498355,1.050347987
0.558498234,1.036450729,0.999647465,0.99498355,1.04865555
0.557403895,1.032457918,0.997550212,0.975802018,1.04865555
0.557403895,1.026269062,0.994404333,0.975802018,1.045270676
0.556309555,1.022875172,0.988112574,0.975802018,1.043578239
0.554120876,1.009299616,0.986015321,0.975802018,1.043578239
0.551932198,1.008501053,0.975529056,0.975802018,1.040193364
0.549743519,0.997321183,0.968188671,0.947029721,1.030038742
0.548649179,0.99612334,0.961896912,0.937438956,1.028346305
0.54755484,0.993528013,0.960848286,0.937438956,1.024961431
0.545366161,0.993528013,0.949313394,0.937438956,1.024961431
0.544271822,0.99233017,0.947216141,0.92784819,1.023268994
0.543177482,0.983545986,0.943021636,0.92784819,1.021576557
0.543177482,0.983346345,0.943021636,0.92784819,1.018191682
0.540988803,0.978954253,0.939875756,0.908666659,1.018191682
